frames,vehicle_id,vehicle_bbox,plate_bbox,plate_text,confidence
0,3.0,[377.922607421875 685.4924926757812 714.6867065429688 990.7197875976562],[488.4266052246094 889.4849853515625 602.6990966796875 924.4747924804688],NA13NRU,0.5835322569004207
2,3.0,[375.57242811969246 689.169952190552 716.0744852854771 998.6513652602013],[478.6695556640625 894.42431640625 599.0872802734375 930.2257080078125],MA13NRU,0.3126015319874736
2,4.0,[1096.1937807465674 587.6574321588676 1393.2739774359102 875.7914331887616],[1209.286865234375 786.5110473632812 1292.0341796875 818.6453247070312],QD51YSU,0.2636305674144979
3,3.0,[371.91096180171405 692.4656244903616 716.8471003559281 1005.670536401033],[476.9559631347656 901.0401611328125 598.509033203125 934.0728759765625],NA13MRU,0.4812882562582403
3,4.0,[1094.9203321748807 587.5045879533355 1394.5071292239274 878.544922753481],[1207.431640625 791.5528564453125 1292.787353515625 821.6383666992188],MW50VSU,0.028382885947766237
4,3.0,[369.1917920080293 694.9581336990109 713.7565889628638 1009.2087583624343],[475.4140319824219 901.8277587890625 601.4100341796875 935.3543701171875],NA13MRU,0.4448528596424699
5,3.0,[367.5793969703691 697.4313184990856 717.8316079801932 1017.1451999762007],[465.3267517089844 909.867919921875 597.9908447265625 944.7059326171875],NA13MRU,0.24435773703778002
7,3.0,[362.0047638649231 702.9049290742915 714.7520736621203 1027.3952680894265],[475.2100524902344 915.4432983398438 595.5330810546875 949.5280151367188],NA13KRU,0.44534682032755646
9,3.0,[354.45626989661605 708.7259223685945 708.5751572112365 1033.9031438765332],[471.25634765625 924.7981567382812 591.3359985351562 957.4619750976562],NA13MRU,0.3625972467420219
10,3.0,[349.68050626586194 710.2484153562939 706.047316551695 1037.2307058258548],[476.88372802734375 926.9798583984375 589.288330078125 960.0054931640625],NA13MRU,0.8217312500131735
11,3.0,[347.84981871721004 713.8254929104465 705.8195337069625 1041.9649164191972],[455.623291015625 935.6145629882812 583.8474731445312 967.6327514648438],XA13MRU,0.16835799361187637
